MovieName,Year,IMDbRating,IMDbVotes,Awards,Language,AltText
After Sex,2007,5.6,7450,N/A,English,"after sex,after sex 2007"
Agatha Raisin,2014,7.3,1290,N/A,English,"agatha raisin,agatha raisin 2014"
Air,2015,5.1,10757,1 nomination.,English,"air,air 2015"
Double Vision,2002,6.4,2245,2 wins & 10 nominations.,"Mandarin,Hokkien,English","double vision,double vision 2002"
Down the Shore,2011,5.9,849,N/A,English,"down the shore,down the shore 2011"
Downfall,2004,8.2,286958,Nominated for 1 Oscar. Another 21 wins & 29 nominations.,"German,Russian,Hungarian","downfall,downfall 2004"
Dream House,2011,6,57732,2 nominations.,English,"dream house,dream house 2011"
Alaskan Bush People,2014,6.4,1795,N/A,English,"alaskan bush people,alaskan bush people 2014"
Ali and Nino,2016,7.1,3658,N/A,"English,Azerbaijani,Russian","ali and nino,ali and nino 2016"
Almost Adults,2016,5.6,1906,N/A,English,"almost adults,almost adults 2016"
Almost Royal,2014,7.2,863,N/A,English,"almost royal,almost royal 2014"
Always Shine,2016,5.7,2935,5 wins & 5 nominations.,English,"always shine,always shine 2016"
Amal,2007,7.6,1576,5 wins & 5 nominations.,"Hindi,English","amal,amal 2007"
Amazing Grace,2006,7.5,22148,1 win & 6 nominations.,English,"amazing grace,amazing grace 2006"
Am̩lie,2001,8.3,628035,Nominated for 5 Oscars. Another 58 wins & 65 nominations.,"French,Russian,English","amlie,amlie 2001,Amlie"
American Girl,2002,6.1,1287,N/A,English,"american girl,american girl 2002"
American Housewife,2016,7.5,4664,1 nomination.,English,"american housewife,american housewife 2016"
Hachi: A Dog's Tale,2009,8.1,211657,1 nomination.,"English,Japanese","hachi a dogs tale,hachi a dogs tale 2009,Hachi A Dogs Tale,hachiadogstale"
Hacksaw Ridge,2016,8.1,337501,Won 2 Oscars. Another 46 wins & 111 nominations.,"English,Japanese","hacksaw ridge,hacksaw ridge 2016"
Hairspray Live!,2016,7.1,2188,Won 3 Primetime Emmys. Another 11 nominations.,English,"hairspray live,hairspray live 2016,Hairspray Live,hairspraylive"
Happy Bhag Jayegi,2016,6.4,3929,2 nominations.,Hindi,"happy bhag jayegi,happy bhag jayegi 2016,happy bhaag jayegi,happy bhaag jayegi 2016,happybhaagjayegi,happybhaagjayegi,happybhagjayegi"
Happy Face Killer,2014,5.5,617,1 nomination.,English,"happy face killer,happy face killer 2014"
Happyish,2015,7.3,2405,N/A,English,"happyish,happyish 2015"
Hard Times,2009,5.9,1559,N/A,English,"hard times,hard times 2009"
Hardball,2001,6.4,25487,2 nominations.,"English,German","hardball,hardball 2001"
Harry Potter and the Deathly Hallows: Part 2,2011,8.1,659643,Nominated for 3 Oscars. Another 45 wins & 91 nominations.,English,"harry potter and the deathly hallows part 2,harry potter and the deathly hallows part 2 2011,Harry Potter and the Deathly Hallows Part 2,harrypotterandthedeathlyhallowspart2"
Hawaizaada,2015,5.6,1283,N/A,Hindi,"hawaizaada,hawaizaada 2015"
Heartbreak Hotel,2006,5.2,1236,3 wins.,"Swedish,Italian,English,French","heartbreak hotel,heartbreak hotel 2006"
Eden,2014,6.4,3489,4 nominations.,"French,English","eden,eden 2014"
Edge of Tomorrow,2014,7.9,523233,11 wins & 37 nominations.,English,"edge of tomorrow,edge of tomorrow 2014"
Heartless,2009,6,9328,6 wins & 1 nomination.,English,"heartless,heartless 2009"
Her,2013,8,441186,Won 1 Oscar. Another 82 wins & 181 nominations.,English,"her,her 2013"
Hercules,2014,6,132366,2 nominations.,English,"hercules,hercules 2014"
Heroes,2008,5.7,1799,N/A,Hindi,"heroes,heroes 2008"
Hey Baby,2007,6.1,11089,N/A,Hindi,"hey baby,hey baby 2007"
Higher Ground,2011,6.3,2755,1 win & 7 nominations.,English,"higher ground,higher ground 2011"
Homecoming,2009,5.4,3865,N/A,English,"homecoming,homecoming 2009"
Honeymoon,2014,5.7,21879,5 nominations.,English,"honeymoon,honeymoon 2014"
Hope Springs,2012,6.3,37244,Nominated for 1 Golden Globe. Another 2 wins & 4 nominations.,English,"hope springs,hope springs 2012"
Hostel,2005,5.9,154442,4 wins & 12 nominations.,"English,Czech,German,Dutch,Slovak,Japanese,Icelandic,Russian,Spanish","hostel,hostel 2005"
Hotel Rwanda,2004,8.1,302613,Nominated for 3 Oscars. Another 16 wins & 45 nominations.,"English,French","hotel rwanda,hotel rwanda 2004"
How to Train Your Dragon,2010,8.1,581347,Nominated for 2 Oscars. Another 25 wins & 60 nominations.,English,"how to train your dragon,how to train your dragon 2010"
Howl,2010,6.8,11640,2 wins & 7 nominations.,English,"howl,howl 2010"
Howl's Moving Castle,2004,8.2,259590,Nominated for 1 Oscar. Another 14 wins & 19 nominations.,Japanese,"howls moving castle,howls moving castle 2004,Howls Moving Castle,howlsmovingcastle"
Humans,2015,8,30902,4 nominations.,English,"humans,humans 2015"
Hunky Dory,2011,6.2,1009,1 nomination.,English,"hunky dory,hunky dory 2011"
I Believe in Unicorns,2014,6.1,618,2 wins & 7 nominations.,English,"i believe in unicorns,i believe in unicorns 2014"
I Declare War,2012,6,2513,2 wins & 1 nomination.,English,"i declare war,i declare war 2012"
Arrival,2016,7.9,471775,Won 1 Oscar. Another 64 wins & 251 nominations.,"English,Russian,Mandarin","arrival,arrival 2016"
As Good as Dead,2010,5.2,1365,N/A,English,"as good as dead,as good as dead 2010"
As You Like It,2006,6.3,2657,Nominated for 1 Golden Globe. Another 1 win & 5 nominations.,English,"as you like it,as you like it 2006"
Ashley,2013,5.6,682,3 wins.,English,"ashley,ashley 2013"
August,2011,5.9,1525,2 wins.,"English,Spanish","august,august 2011"
Ava's Possessions,2015,5.6,2334,1 nomination.,English,"avas possessions,avas possessions 2015,Avas Possessions,avaspossessions"
Avengers: Infinity War,2018,8.6,505383,N/A,English,"avengers infinity war,avengers infinity war 2018,Avengers Infinity War,avengersinfinitywar"
Baaraat Company,2017,8.5,544,N/A,Hindi,"baaraat company,baaraat company 2017"
I'm Still Here,2013,8.5,639,N/A,English,"im still here,im still here 2013,Im Still Here,imstillhere"
If There Be Thorns,2015,6,1438,2 nominations.,"English,French","if there be thorns,if there be thorns 2015"
Imagine That,2009,5.6,11739,1 win & 2 nominations.,English,"imagine that,imagine that 2009"
In Dubious Battle,2016,6.1,2903,2 wins.,English,"in dubious battle,in dubious battle 2016"
In the Forests of Siberia,2016,6.9,641,2 wins.,"French,Russian,English","in the forests of siberia,in the forests of siberia 2016"
In the Heart of the Sea,2015,6.9,103748,1 win & 5 nominations.,English,"in the heart of the sea,in the heart of the sea 2015"
In the Loop,2009,7.5,49164,Nominated for 1 Oscar. Another 16 wins & 41 nominations.,English,"in the loop,in the loop 2009"
In the Shadows,2001,5.1,786,N/A,English,"in the shadows,in the shadows 2001"
In Your Eyes,2014,7.1,27858,N/A,English,"in your eyes,in your eyes 2014"
Incendies,2010,8.2,115173,Nominated for 1 Oscar. Another 39 wins & 15 nominations.,"French,Arabic,English","incendies,incendies 2010"
Inception,2010,8.8,1755,Won 4 Oscars. Another 152 wins & 204 nominations.,"English,Japanese,French","inception,inception 2010"
Inconceivable,2017,5.2,6114,N/A,English,"inconceivable,inconceivable 2017"
Inescapable,2012,5.2,2299,N/A,"English,Arabic","inescapable,inescapable 2012"
Infamous,2006,7.1,15175,3 wins & 2 nominations.,English,"infamous,infamous 2006"
Inglourious Basterds,2009,8.3,1068,Won 1 Oscar. Another 129 wins & 165 nominations.,"English,German,French,Italian","inglourious basterds,inglourious basterds 2009"
Inside Out,2015,8.2,500417,Won 1 Oscar. Another 93 wins & 112 nominations.,English,"inside out,inside out 2015"
Insomnia,2002,7.2,246781,1 win & 10 nominations.,English,"insomnia,insomnia 2002"
